FICO,TotalAmtOwed,Volume,Stress,Num_Delinquent,Num_CreditLines,WomanOwned,CorpStructure,NAICS,Months
696,66657,16822,0.33020746641303056,4,10,0,Partner,722330,20
612,235240,125332,0.15641123841742996,5,11,0,Corp,459310,17
794,116262,57337,0.16897465859741528,4,13,1,Corp,458210,24
788,274747,100213,0.22846919395021936,4,11,1,Corp,722511,19
745,295216,68697,0.3581136488250336,4,12,0,Sole,722514,28
699,36158,21665,0.13907992922532503,4,12,0,Corp,441120,9
710,82242,17113,0.40048501139484605,4,10,0,Corp,458310,11
700,119012,35401,0.2801521614267017,4,12,1,Corp,445291,20
743,65439,64159,0.08499586963637214,4,11,0,Sole,722330,19
741,265424,179591,0.12316133139559704,4,10,1,LLC,722410,12
661,19971,4864,0.3421566611842105,4,10,1,Partner,441120,19
716,335655,94675,0.2954449432268286,4,9,0,LLC,444240,19
605,594453,239600,0.20675187813021703,5,12,0,Partner,458310,25
656,36872,12992,0.23650451559934318,4,12,0,Corp,459210,17
747,23528,15784,0.12421861800979896,4,9,1,LLC,459210,18
664,11343,2499,0.37825130052020806,4,8,1,Sole,445110,15
711,80541,76129,0.08816285515375219,4,10,0,LLC,444240,19
675,199922,57847,0.28800398753032425,4,8,0,LLC,441120,22
668,33548,25387,0.11012197844040912,4,11,1,Partner,445292,22
686,33316,35071,0.07916322127493751,4,8,1,Partner,722330,27
746,749650,486478,0.12841450863828033,4,13,1,Sole,722513,24
689,20298,4600,0.36771739130434783,4,8,0,Corp,445131,15
744,233573,153386,0.1268982610320803,4,13,1,LLC,722514,11
632,156157,353784,0.036782566010145554,4,12,0,Sole,722330,13
746,61739,19471,0.2642348449831373,4,12,0,Partner,458310,16
683,37291,7442,0.4175736809101496,4,10,0,Sole,459910,19
711,20164,27336,0.06146961272071017,4,12,0,Sole,444240,18
661,137975,87785,0.13097814736762164,4,10,1,Sole,444140,9
751,10473,2693,0.3240809506126996,4,11,1,Sole,722330,14
675,115061,51521,0.18610695962164295,4,12,1,LLC,445230,15
727,297771,56120,0.4421641126158232,4,11,1,Sole,459210,20
771,358410,159994,0.18667887545782966,4,9,0,LLC,445291,26
641,842112,841520,0.08339195741040023,4,10,0,LLC,722410,12
636,335562,366522,0.07629419243592472,4,12,0,Corp,445131,21
655,464347,307751,0.1257366615651398,4,12,1,Sole,459210,17
659,30905,5753,0.4476649863839156,4,12,0,Sole,445240,20
688,66336,35044,0.15774454970893734,4,11,1,Sole,459310,14
715,116521,141672,0.06853918440717527,4,8,0,Sole,722513,19
700,137786,83242,0.13793717914834658,4,12,1,Corp,459310,17
722,305687,103341,0.24650348522528975,4,11,0,Corp,722330,20
729,165543,114943,0.12001818292545001,4,12,1,Sole,444240,23
674,171661,34015,0.4205522073594983,4,10,1,Corp,459910,10
690,213683,103889,0.17140329261679935,4,8,0,Sole,444240,17
695,219659,54090,0.33841591175201824,4,8,1,Corp,459210,16
606,500503,326460,0.12776016459392678,5,9,0,LLC,459210,11
722,720586,364892,0.16456604511289186,4,8,0,LLC,445291,17
772,296246,53789,0.4589631089380109,4,12,1,Partner,722514,23
636,463458,224695,0.17188410957075145,4,9,0,LLC,441120,14
658,351773,68938,0.4252287079211272,4,9,0,Partner,445230,25
727,202588,103085,0.1637709980436856,4,12,0,Partner,445131,22
711,201404,276368,0.060729413921534574,4,8,1,Corp,441120,20
717,812145,400543,0.16896750161655552,4,11,1,Sole,722514,14
691,506494,207100,0.20380412039272494,4,8,0,Partner,445230,22
694,107861,45563,0.19727446978176735,4,11,0,LLC,459210,18
651,272039,54931,0.41269805149490574,4,10,0,Corp,441120,19
727,115946,53970,0.17902847260823915,4,10,1,Corp,445292,26
774,370573,300396,0.1028012467986702,4,11,1,Sole,444240,17
731,25726,8489,0.25254250598814154,4,10,1,Sole,445240,20
707,483717,211809,0.19031179033940956,4,12,0,Sole,445110,19
554,143686,136252,0.08788005558328196,5,10,0,Partner,445230,19
777,102373,110467,0.07722743745492622,4,13,0,Sole,445250,14
704,119647,85902,0.11606928049793176,4,10,0,Partner,445292,15
656,260923,114125,0.1905242789339175,4,12,0,Sole,722513,28
617,325403,112030,0.24205049242762355,5,9,1,LLC,445292,17
660,550840,171858,0.2671003580475354,4,8,0,Partner,445250,21
651,58097,13950,0.34705495818399046,4,8,1,Corp,459310,13
595,501482,195204,0.21408458160010382,5,10,0,Corp,445320,11
649,300987,149389,0.1678989082194807,4,10,1,Partner,458210,17
667,226764,73127,0.2584134451023562,4,10,0,Sole,459310,16
672,348006,169509,0.17108531110442513,4,11,1,Corp,445291,14
756,19388,14832,0.10893113987774182,4,12,0,LLC,459210,17
717,56591,20743,0.22734978868373268,4,12,1,Partner,722330,16
689,523709,145851,0.29922603661727837,4,10,0,LLC,445240,10
638,217239,140825,0.12855139357358425,4,9,0,Sole,722514,16
735,11507,6835,0.14029504998780784,4,10,1,Sole,445291,19
690,200963,78162,0.21425906024240254,4,9,1,LLC,722410,18
594,602216,159859,0.3139308182002056,5,10,0,Partner,722330,14
686,432579,100958,0.357061847500941,4,10,1,LLC,458310,14
717,785019,835229,0.07832372918085938,4,12,1,Corp,445250,20
724,197647,83925,0.19625359944394796,4,8,1,Corp,445131,13
692,288685,174918,0.13753349188381603,4,9,0,Partner,459210,25
742,44751,165485,0.022535275100462278,4,13,0,Corp,459210,22
787,125086,43722,0.2384116310629279,4,11,1,Partner,441120,19
804,116557,29328,0.3311880569194399,4,10,1,Partner,445230,14
675,201434,52233,0.32137090855717015,4,12,0,Sole,722330,19
715,83021,25823,0.26791684415701766,4,9,0,Sole,459210,12
779,251206,128981,0.16230168267677667,4,13,1,Sole,441120,17
768,70260,148632,0.03939259378868615,4,10,1,Sole,459310,20
801,32787,5847,0.46729091841970244,4,12,1,Partner,445291,22
666,241743,335104,0.06011641162146677,4,12,1,Sole,459210,13
641,630623,230050,0.2284369339998551,4,9,1,Sole,445250,14
655,14099,2984,0.39373882931188564,4,12,0,LLC,459910,13
758,104342,42677,0.20374362459091938,4,9,0,Sole,722511,21
740,329948,331997,0.0828190214570212,4,11,1,Sole,445230,21
677,344095,278464,0.1029741127518578,4,8,1,Sole,445292,10
703,39703,35190,0.09402055508193616,4,9,1,Corp,459310,13
649,84714,35283,0.20008219255732224,4,11,0,Corp,722330,25
624,314448,84277,0.31092706195047287,5,10,0,Sole,445250,15
638,440427,337894,0.10862060291097209,4,11,0,Sole,458310,15
661,162826,50796,0.267124051762606,4,11,0,Sole,459310,13
768,67010,25789,0.21653288869931625,4,10,1,Corp,445240,23
668,412963,169511,0.2030168150346192,4,11,1,Corp,445110,15
838,68802,24221,0.23671607282936294,3,10,1,Corp,459910,16
656,253277,122439,0.17238311866861594,4,9,0,Partner,458210,20
737,142791,30338,0.39222262509064537,4,9,0,Sole,458310,20
703,323754,147962,0.18234073613495358,4,8,0,Sole,441120,20
754,263184,101347,0.21640502432237757,4,12,1,Sole,445131,22
689,350164,191242,0.15258328888702968,4,12,1,Sole,722513,14
744,120072,30839,0.32445928856318296,4,13,0,LLC,445291,15
648,861881,275076,0.26110390098251635,4,10,0,LLC,444240,18
749,21023,6320,0.27720200421940927,4,13,1,Partner,722511,24
710,426591,371591,0.0956676830170806,4,11,0,Sole,445250,20
691,93732,45576,0.17138406178690538,4,10,0,Sole,459310,15
696,176641,61326,0.24003005794171042,4,10,1,Partner,444240,15
607,19596,6892,0.2369413813116657,5,10,0,LLC,722511,20
532,210263,78244,0.22393942879539222,6,9,0,LLC,445250,16
745,160367,36688,0.36425852231428985,4,10,1,Corp,722410,22
640,156701,209121,0.062444310550670026,4,11,0,Corp,722514,25
691,25555,5290,0.40256773787019534,4,12,1,LLC,445131,16
740,62855,120442,0.043489120627909425,4,10,1,Sole,722511,12
770,159936,42825,0.3112200817279626,4,9,1,Sole,441120,10
670,407156,91920,0.36912170002901074,4,10,1,Corp,445250,20
665,89142,122515,0.06063339182957189,4,8,1,LLC,458210,14
724,296253,323560,0.07630037705526023,4,10,1,Corp,458210,16
713,110256,35153,0.26137171791881203,4,11,0,Partner,444240,19
756,192924,53757,0.2990680283497963,4,11,1,Corp,722330,19
730,454717,140037,0.27059336699110476,4,8,1,Sole,445230,15
777,92468,59356,0.12982119190421637,4,11,1,Partner,445131,19
625,167652,45720,0.3055774278215223,5,8,1,Partner,722330,20
658,389674,262070,0.12390900649953575,4,10,0,Corp,444140,15
695,59972,48305,0.10346064934616846,4,12,1,Corp,445292,20
739,156150,43198,0.3012292235751655,4,9,0,Partner,444140,20
787,84447,23920,0.2941994147157191,4,9,1,LLC,459210,24
761,561710,1213824,0.0385633886516222,4,9,1,LLC,722511,18
722,124677,30179,0.3442708505914709,4,9,0,Partner,445291,15
674,124397,53118,0.19515826399086308,4,12,0,LLC,459210,14
704,266008,140026,0.1583086950518713,4,11,0,Partner,445110,16
685,22577,8222,0.2288271304629855,4,8,1,Corp,445240,22
701,63193,72332,0.07280433740714114,4,9,1,LLC,445292,21
718,126534,24927,0.42301520439683876,4,8,0,Sole,445230,10
732,36731,9705,0.3153958440666323,4,12,0,Sole,722410,19
712,100570,46284,0.18107409327917495,4,11,0,Partner,459210,24
630,43563,43137,0.08415629274172984,5,10,0,Corp,445240,23
685,175588,105092,0.13923356043593552,4,10,1,Sole,459210,16
624,199912,34973,0.47634842116299236,5,8,0,Partner,459210,19
608,656341,729837,0.07494150520367333,5,12,1,LLC,459910,21
706,362814,217443,0.13904563494800937,4,12,1,LLC,722410,17
787,126879,76095,0.13894802549444774,4,13,1,Sole,441120,17
733,25375,11083,0.19079521188607176,4,11,1,Corp,722513,21
711,36854,12668,0.2424350068413851,4,8,0,Corp,722513,26
783,132239,75675,0.14562162757405572,4,11,1,Corp,445110,19
689,56839,52811,0.0896893323991845,4,11,1,Corp,445131,16
751,106962,20816,0.4282042659492698,4,13,0,Partner,445320,16
642,548104,190522,0.2397378430487468,4,9,0,Sole,459210,25
773,144898,90900,0.13283645031169786,4,10,1,Sole,445131,11
623,51793,12818,0.3367204972174546,5,12,1,LLC,459310,18
657,90241,40944,0.1836675296339716,4,10,0,Sole,458310,15
735,49456,44819,0.09195504882601872,4,11,0,LLC,722330,21
719,195582,159417,0.10223815527829529,4,10,1,Sole,459210,17
679,504464,238645,0.17615565658893614,4,11,0,LLC,444240,22
687,527449,97072,0.45279878166034837,4,12,0,Corp,722511,20
708,260451,119698,0.18132508479673845,4,11,1,LLC,445320,27
718,146067,71719,0.16972141273581617,4,10,1,Corp,445250,15
705,1361668,1189175,0.09542105521334819,4,9,1,Corp,445230,18
613,43982,20904,0.17533326954968745,5,9,0,Partner,445110,16
608,83570,13904,0.5008750479478328,5,10,0,Sole,445230,17
706,29696,29404,0.08416088514034371,4,8,1,Sole,459910,18
705,109871,39411,0.23231881116101255,4,12,1,Corp,445291,16
697,121469,25343,0.3994166699548856,4,12,1,Sole,722511,27
680,468590,372671,0.10478187641825273,4,10,0,Partner,445240,23
599,63944,30136,0.17682063534200515,5,10,0,Corp,722330,15
770,154275,44504,0.28887852777278444,4,13,0,Corp,722511,14
692,386492,308367,0.1044458929349336,4,8,1,Sole,722410,19
749,17170,10034,0.14259849843864195,4,13,0,LLC,445250,27
734,180932,166861,0.09036063949434958,4,10,1,Corp,445250,22
707,11527,5488,0.1750334062196307,4,10,1,Partner,722330,17
814,27802,25041,0.09252159791275642,4,11,1,Corp,445240,12
625,214724,60080,0.2978306702174878,5,8,0,Corp,722513,18
712,371202,306664,0.10087098583465944,4,11,1,Sole,722410,16
736,92934,33152,0.23360581563706564,4,10,1,Corp,441120,16
676,96274,31204,0.257109131307952,4,9,0,LLC,444240,18
658,39412,15802,0.20784288908576976,4,9,0,Sole,722330,19
698,175666,122853,0.11915731266907063,4,11,1,Sole,458210,24
637,1123711,355896,0.26311783030248537,4,8,0,LLC,459310,18
730,281785,107643,0.2181477971938104,4,12,0,LLC,458210,14
627,304925,126171,0.20139664952062414,5,12,1,Sole,445131,17
695,34301,22853,0.12507839962659897,4,11,1,Corp,722513,27
623,140179,60162,0.19416879979610607,5,12,0,Sole,722511,16
742,91671,42458,0.1799248669273164,4,12,1,Partner,445240,16
706,635541,320536,0.1652287106596451,4,8,1,Partner,444240,20
763,159207,59994,0.22114294762809614,4,12,1,Corp,722514,15
749,258970,1235472,0.01746768306633686,4,9,0,Partner,458210,21
693,71014,37702,0.15696337948473113,4,9,1,LLC,441120,13
647,145140,55780,0.21683399067766224,4,10,0,LLC,722410,15
644,294088,114266,0.21447616380492301,4,9,0,Partner,722511,24
768,385424,208757,0.15385671698034878,4,12,0,LLC,445131,23
657,479431,85017,0.4699364048758876,4,8,0,Sole,722410,13
711,117210,53557,0.18237578654517617,4,9,0,Partner,444240,15
658,266323,65476,0.33895753151281893,4,11,0,Sole,458210,18
612,42437,29922,0.1181878439498251,5,10,1,Partner,445292,20
667,211372,41366,0.4258166932585537,4,8,0,Corp,444140,12
658,292118,374640,0.0649774895010321,4,9,0,Partner,445320,13
741,83047,166336,0.04160604639604976,4,9,1,LLC,458310,17
638,51840,38096,0.11339773204535909,4,12,0,Corp,445291,28
690,401604,226842,0.14753440720854163,4,8,0,Corp,445110,21
678,58803,31328,0.15641758171603679,4,10,0,Partner,722330,15
696,65541,145115,0.03763739103469662,4,12,1,Sole,445250,20
758,367667,150490,0.2035943695040645,4,11,1,Corp,445292,14
785,167770,61369,0.2278158896728533,4,12,0,Corp,459910,15
682,262613,116282,0.18820124066206867,4,9,0,Corp,445131,14
801,18231,33302,0.04562038316017056,4,11,1,LLC,445131,11
656,203416,54868,0.30894753468931496,4,12,0,Sole,459310,16
686,241244,151070,0.1330751748637497,4,10,1,LLC,458210,14
693,51851,26710,0.16177149631848248,4,9,1,Partner,722410,18
738,28596,7401,0.32198351574111606,4,10,0,Partner,445291,21
629,231784,107931,0.17896001457721444,5,10,0,Corp,459310,13
676,14909,8073,0.1538977662166068,4,8,1,Partner,722410,15
724,33042,8264,0.3331921587608906,4,11,0,Sole,445230,16
575,376880,99142,0.31678467921432557,5,8,0,Partner,445291,21
711,60937,42931,0.118284767029264,4,12,0,LLC,445320,16
579,44830,38604,0.0967732186647325,5,9,0,Corp,441120,14
692,69239,67545,0.08542329804821477,4,10,1,Sole,459210,13
721,62970,35851,0.14636969680064713,4,10,1,LLC,458210,20
654,394042,230489,0.1424659455910405,4,11,0,Sole,445230,13
670,26034,10393,0.2087462715289137,4,10,1,LLC,445131,20
739,144821,209316,0.05765644607515272,4,11,1,Sole,444140,17
693,64430,14379,0.37340334283793497,4,9,0,Partner,458210,11
689,245473,60405,0.3386488425351102,4,12,1,Corp,441120,19
573,82161,12324,0.555562317429406,5,11,0,Corp,441120,19
707,82671,16425,0.4194368340943683,4,8,0,Corp,459910,30
721,288499,92440,0.2600777080628876,4,10,1,Corp,458210,24
689,84390,76089,0.09242466059482973,4,12,0,Sole,441120,13
706,360061,184568,0.16256926083250256,4,8,0,Sole,445131,19
710,69162,27466,0.20984125828296804,4,8,1,LLC,458210,18
734,105406,29399,0.2987800038550064,4,8,1,Sole,441120,21
704,340270,242515,0.11692403906287584,4,8,1,Sole,722513,15
604,66360,74383,0.07434494440934085,5,11,1,Corp,722410,19
770,213523,71626,0.24842352404620294,4,10,1,Corp,444140,25
724,96174,33161,0.24168450891107024,4,8,1,Partner,459310,22
706,39766,10308,0.3214816970637693,4,11,1,Partner,445291,18
716,150012,57139,0.21878226780307672,4,8,1,Corp,722511,21
583,234603,246811,0.0792114208848066,5,8,0,Sole,722330,25
762,118005,21637,0.45448768313536997,4,10,1,LLC,445240,20
607,333658,186106,0.1494032074910714,5,12,0,LLC,722514,14
774,76929,48171,0.13308318282784248,4,13,0,Partner,458310,21
773,495250,209489,0.1970071618716655,4,12,1,LLC,459310,25
661,156657,81907,0.15938503424615721,4,9,0,LLC,459210,18
724,182168,175777,0.08636321399652211,4,8,0,Corp,445291,14
634,124897,37098,0.28055645407658997,4,12,0,Corp,722514,13
713,125684,148278,0.07063533812613244,4,11,1,Corp,459310,13
565,182437,78846,0.19281996973002224,5,10,0,LLC,458310,15
779,60210,25628,0.19578195723427502,4,9,1,LLC,459910,23
683,228202,225265,0.08441983145776455,4,9,1,Sole,445250,17
764,64371,21243,0.2525184766746693,4,11,1,Sole,459910,27
622,205538,99529,0.1720922210277072,5,10,0,Corp,445320,17
635,54438,18492,0.24532230153579926,4,11,0,LLC,445292,16
660,281137,82692,0.2833174107934665,4,10,0,Corp,445320,19
708,120373,182982,0.05482005516025256,4,12,1,Partner,445240,14
659,575957,121251,0.3958434707067708,4,12,0,LLC,459310,17
692,211474,147259,0.11967236863847597,4,10,0,Corp,459910,15
736,38287,95459,0.03342359896220716,4,10,0,Corp,722330,13
758,453231,144061,0.26217539792171374,4,9,1,Sole,444140,16
567,343798,233068,0.12292478303899863,5,8,0,Corp,722514,27
609,253354,123099,0.1715110060466237,5,10,0,Partner,459210,15
593,231799,71594,0.26980729297613393,5,11,0,Corp,445110,19
613,180044,57630,0.26034472786164614,5,12,0,LLC,445240,25
739,533397,160437,0.2770542331257752,4,11,1,Sole,445250,16
647,34641,18332,0.1574705433122409,4,8,0,Partner,445292,20
637,58327,15675,0.3100850611376927,4,10,0,Partner,459210,18
770,516831,209744,0.20534198832862918,4,10,1,Corp,722330,15
709,71264,56336,0.10541512827795134,4,10,1,Partner,458310,14
587,742367,1271446,0.04865634613398183,5,12,1,Partner,445230,15
633,105264,32521,0.2697334030318871,4,8,0,Sole,459210,21
690,324232,111437,0.24246285644205545,4,11,1,Partner,722330,22
715,61018,44096,0.11531280237058539,4,10,1,Partner,458310,12
626,213144,100069,0.17749752670657246,5,8,0,Corp,459210,23
667,1254104,466918,0.2238265962474496,4,9,0,Sole,445110,13
718,189653,103488,0.15271738430220572,4,10,0,Partner,722410,19
684,69481,50714,0.11417130049558964,4,12,1,Partner,441120,19
630,33004,24992,0.1100485488689714,5,12,0,LLC,445240,19
646,12794,1990,0.5357621440536013,4,9,0,Partner,445131,21
651,30634,13316,0.19171172524281568,4,8,1,LLC,441120,22
689,487302,910802,0.044585431301204875,4,9,0,Partner,444240,19
644,57372,36737,0.1301412744644364,4,8,0,Corp,445131,19
745,203087,75822,0.22320588571478817,4,10,0,Sole,722330,15
738,34678,125798,0.022972013333545316,4,9,1,Sole,458210,13
649,149537,109236,0.11407792913203217,4,12,1,Partner,444140,22
744,247351,93457,0.22055686929104648,4,12,1,LLC,444240,17
675,62756,23971,0.21816639550568048,4,9,1,Partner,459310,14
669,382712,113927,0.27993949341830004,4,10,0,Corp,458210,18
684,24717,11994,0.1717316991829248,4,10,0,Partner,458310,21
750,348967,59763,0.4865984527773594,4,9,1,LLC,722511,13
688,27897,7713,0.30140671593413715,4,12,0,LLC,445250,24
706,33136,11275,0.24490761271249079,4,10,1,Partner,459310,16
636,169931,59071,0.23972705162713795,4,10,0,Sole,722330,23
617,499014,234455,0.17736665884711353,5,8,0,Corp,722514,14
706,468065,141982,0.27472085663440904,4,9,0,Corp,722330,16
736,105919,19759,0.44671204683098,4,12,0,Sole,445292,17
603,99152,63502,0.13011663674634918,5,10,0,Sole,722330,26
788,17388,15336,0.09448356807511737,4,13,1,LLC,445320,12
606,40237,18241,0.18382124518027157,5,8,0,Partner,445240,17
599,84224,23718,0.2959215223318436,5,8,0,Partner,445292,14
685,186836,76121,0.2045383884429614,4,11,1,Partner,445292,19
704,136417,78252,0.14527530712740036,4,11,1,Partner,459210,20
697,93988,38972,0.20097334838687603,4,12,1,Partner,445291,17
728,66408,68321,0.0809999853632119,4,11,0,LLC,444240,21
680,95546,22472,0.35431499940666905,4,11,0,Partner,445291,21
706,98309,94526,0.08666839458632192,4,9,1,LLC,459210,23
721,62981,20573,0.25511187802783586,4,9,0,Sole,722514,16
644,313416,90624,0.2882018008474576,4,10,0,Sole,445131,19
717,535775,455446,0.0980311972586578,4,10,1,Partner,459310,20
685,147008,73277,0.16718297237423294,4,8,1,Sole,445250,18
728,507657,138180,0.3061568244319004,4,12,0,Partner,441120,16
692,171334,101809,0.14024136700422687,4,11,1,Partner,444240,24
669,346546,241633,0.1195152704031872,4,8,1,Partner,445291,12
688,408829,156482,0.2177188643635264,4,11,1,Sole,458210,22
576,207600,94418,0.18322777436505752,5,12,0,Sole,444140,26
722,110902,106058,0.08713942685448843,4,8,1,Partner,445240,15
650,110038,37172,0.24668657412389255,4,10,1,LLC,459210,15
727,20090,15898,0.10530674717993878,4,10,0,Sole,459210,23
725,289198,80244,0.3003319043583736,4,12,1,LLC,458210,15
732,126842,64325,0.16432439435159993,4,11,0,LLC,445240,18
717,68165,43102,0.13179009481385243,4,12,0,Partner,458210,17
717,44433,10542,0.35123790552077405,4,11,0,LLC,459910,17
702,101415,71801,0.11770379242628932,4,11,1,Corp,722410,17
790,183138,222135,0.06870371620861188,4,12,1,Sole,441120,14
627,107506,45234,0.19805529763747035,5,9,0,LLC,445110,14
606,12804,8472,0.12594428706326724,5,10,1,LLC,444140,20
690,742296,347091,0.17821839229481606,4,8,0,Corp,445230,26
699,119721,587539,0.016980574906516843,4,10,0,Corp,445240,21
756,120231,56908,0.1760604835875448,4,11,0,Corp,441120,17
668,188361,45366,0.3460025128951197,4,8,0,Sole,459910,11
624,255944,182156,0.11709011323627368,5,12,0,LLC,458310,14
734,158430,103631,0.12739913732377378,4,12,0,Partner,458310,18
734,256110,208396,0.10241319411121134,4,8,1,LLC,722514,15
700,278913,207239,0.11215432423433813,4,8,1,Sole,722330,17
656,53547,29349,0.1520409553988211,4,10,0,Corp,459210,15
669,52150,19301,0.22516104519627653,4,10,0,LLC,722410,15
741,144852,47160,0.2559584393553859,4,11,1,Partner,722514,19
651,48643,27066,0.14976661986748444,4,10,0,Corp,458210,13
660,28043,12416,0.18821815936426115,4,12,1,Corp,722513,20
731,274892,202631,0.11305114551409541,4,10,0,Partner,459310,19
701,387320,271002,0.11910121204517557,4,8,1,Partner,444240,21
647,22407,8800,0.2121875,4,10,0,Corp,722330,12
647,363420,126702,0.23902542974854382,4,11,1,Corp,445110,15
731,20504,14124,0.12097611630321911,4,8,0,Corp,459210,12
652,174842,66731,0.21834180016284285,4,11,0,LLC,722514,15
654,174057,33640,0.4311756837098692,4,12,1,LLC,445230,17
703,270480,180625,0.12478892733564013,4,10,0,LLC,459210,25
769,13979,8984,0.1296657019887207,4,11,0,Corp,445110,14
722,287904,324496,0.07393619644001775,4,11,0,Partner,445250,21
683,48620,20421,0.1984068687462253,4,9,1,LLC,441120,17
686,193694,126436,0.1276627437333249,4,10,1,Corp,459210,19
756,250563,143313,0.1456968314109676,4,10,1,LLC,722330,12
702,179853,39180,0.3825357325165901,4,9,1,Corp,459210,9
713,347973,159287,0.18204718526935657,4,8,1,Corp,459210,15
737,115395,76335,0.1259743237047226,4,12,1,Partner,459210,25
639,490901,293294,0.13947921425827553,4,11,0,Partner,444240,20
686,344525,107373,0.26738953616520605,4,12,1,Sole,459210,32
654,353363,168558,0.17469901557129694,4,9,0,LLC,722513,20
676,64780,48310,0.1117436003587939,4,8,1,Corp,444140,25
760,135129,58477,0.19256716315816474,4,11,0,Corp,445292,15
695,122509,53965,0.189179715247537,4,10,0,Sole,445292,14
666,280523,75832,0.3082724531420333,4,9,0,Corp,445230,19
673,80064,48845,0.1365953526461255,4,9,0,Sole,459910,14
711,103259,251598,0.03420105353248701,4,9,1,LLC,441120,18
621,17858,14443,0.10303722679960305,5,9,0,LLC,459210,14
622,518864,90522,0.47765920623347546,5,8,0,LLC,459210,20
699,45019,23233,0.16147649177176143,4,11,1,LLC,722514,27
644,131775,105395,0.1041913753024337,4,12,0,Sole,458310,9
661,83044,24708,0.28008472289676756,4,9,1,Corp,444240,21
770,179699,38891,0.3850483830877752,4,12,1,Partner,722514,23
699,391692,156823,0.20813911224756573,4,9,0,Partner,444140,23
712,78247,23991,0.27179289455768135,4,8,1,Corp,445240,18
622,52580,82355,0.05320462226539575,5,9,0,Sole,458210,17
646,140373,116851,0.10010825752453979,4,9,0,Sole,722514,16
708,178504,66945,0.22220230537505914,4,8,1,Corp,445292,16
748,87464,30602,0.23817615406400455,4,9,0,Partner,459210,25
703,41630,19095,0.1816793226848215,4,9,0,Sole,722511,16
738,311079,115730,0.22399766698349607,4,9,0,Sole,444140,16
699,297191,194319,0.12744979475330084,4,10,0,Sole,445250,16
655,33176,14059,0.19664746188681034,4,12,0,Sole,722513,20
670,157159,57653,0.22716221763539338,4,11,1,Corp,445240,18
656,294793,578501,0.04246506632371134,4,12,0,Corp,459210,24
689,44990,7131,0.525756088440144,4,10,0,LLC,445291,11
642,425985,129517,0.27408564126716956,4,12,0,Partner,459310,24
706,244101,67045,0.30340442986054145,4,8,1,LLC,445250,14
